accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20240112,GME,GameStop Corp. Class A,A,NYSE,60104977,61174273,,3190257,18.84,,-1.75,-1069296,2024-01-12,2024-01-12
20240112,KOSS,Koss Corporation Common Stock,R,SC,8098,11471,,11521,1.0,,-29.4,-3373,2024-01-12,2024-01-12
20240112,NOK,Nokia Corporation,A,NYSE,21092870,25370584,,12833723,1.64,,-16.86,-4277714,2024-01-12,2024-01-12
20231229,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,23283624,18302923,,18149342,1.28,,27.21,4980701,2023-12-29,2023-12-29
20231229,BB,BlackBerry Limited,A,NYSE,31095455,22417496,,7096447,4.38,,38.71,8677959,2023-12-29,2023-12-29
20231229,EXPR,"Express, Inc.",A,NYSE,476882,440554,,76890,6.2,,8.25,36328,2023-12-29,2023-12-29
20231229,GME,GameStop Corp. Class A,A,NYSE,61174273,62664063,,4627616,13.22,,-2.38,-1489790,2023-12-29,2023-12-29
20231229,KOSS,Koss Corporation Common Stock,R,SC,11471,27086,,16069,1.0,,-57.65,-15615,2023-12-29,2023-12-29
20231229,NOK,Nokia Corporation,A,NYSE,25370584,16347038,,14094962,1.8,,55.2,9023546,2023-12-29,2023-12-29
20231215,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,18302923,22600273,,21354140,1.0,,-19.01,-4297350,2023-12-15,2023-12-15
20231215,BB,BlackBerry Limited,A,NYSE,22417496,21502457,,7511017,2.98,,4.26,915039,2023-12-15,2023-12-15
20231215,EXPR,"Express, Inc.",A,NYSE,440554,451022,,49874,8.83,,-2.32,-10468,2023-12-15,2023-12-15
20231215,GME,GameStop Corp. Class A,A,NYSE,62664063,63590274,,11523582,5.44,,-1.46,-926211,2023-12-15,2023-12-15
20231215,KOSS,Koss Corporation Common Stock,R,SC,27086,31075,,22638,1.2,,-12.84,-3989,2023-12-15,2023-12-15
20231215,NOK,Nokia Corporation,A,NYSE,16347038,22590730,,24977606,1.0,,-27.64,-6243692,2023-12-15,2023-12-15
20231130,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,22600273,22796630,,18228674,1.24,,-0.86,-196357,2023-11-30,2023-11-30
20231130,BB,BlackBerry Limited,A,NYSE,21502457,24797681,,2403497,8.95,,-13.29,-3295224,2023-11-30,2023-11-30
20231130,EXPR,"Express, Inc.",A,NYSE,451022,423459,,56771,7.94,,6.51,27563,2023-11-30,2023-11-30
20231130,GME,GameStop Corp. Class A,A,NYSE,63590274,60673347,,11206851,5.67,,4.81,2916927,2023-11-30,2023-11-30
20231130,KOSS,Koss Corporation Common Stock,R,SC,31075,9728,,27674,1.12,,219.44,21347,2023-11-30,2023-11-30
20231130,NOK,Nokia Corporation,A,NYSE,22590730,28992296,,7824952,2.89,,-22.08,-6401566,2023-11-30,2023-11-30
20231115,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,22796630,18414828,,23444896,1.0,R,23.79,4381802,2023-11-15,2023-11-15
20231115,BB,BlackBerry Limited,A,NYSE,24797681,24579372,,3655598,6.78,,0.89,218309,2023-11-15,2023-11-15
20231115,EXPR,"Express, Inc.",A,NYSE,423459,467634,,43837,9.66,,-9.45,-44175,2023-11-15,2023-11-15
