ticker,date,marketCap
ALT,2025-06-30,531100654
ALTG,2024-06-30,267246544
ALTG,2024-07-31,348681564
ALTG,2024-08-31,223820356
ALTG,2024-09-30,225988236
ALTG,2024-10-31,217941178
ALTG,2024-11-30,265217648
ALTG,2024-12-31,219282354
ALTG,2025-01-31,244764707
ALTG,2025-02-28,183741177
ALTG,2025-03-31,157252942
ALTG,2025-04-30,142500001
ALTG,2025-05-31,157545007
ALTG,2025-06-30,194029114
ALTI,2024-06-30,604737159
ALTI,2024-07-31,684992920
ALTI,2024-08-31,561973783
ALTI,2024-09-30,482245781
ALTI,2024-10-31,526086306
ALTI,2024-11-30,612477930
ALTI,2024-12-31,677033395
ALTI,2025-01-31,597201793
ALTI,2025-02-28,531187199
ALTI,2025-03-31,466707828
ALTI,2025-04-30,526581530
ALTI,2025-05-31,509694075
ALTI,2025-06-30,562709562
ALX,2024-06-30,1153959483
ALX,2024-07-31,1243855288
ALX,2024-08-31,1176400651
ALX,2024-09-30,1243892826
ALX,2024-10-31,1165212858
ALX,2024-11-30,1147659988
ALX,2024-12-31,1027014812
ALX,2025-01-31,975114783
ALX,2025-02-28,1100321677
ALX,2025-03-31,1073729971
ALX,2025-04-30,1059561417
ALX,2025-05-31,1156020521
ALX,2025-06-30,1158330611
ALXO,2024-06-30,302228170
ALXO,2024-07-31,240579638
ALXO,2024-08-31,120248284
ALXO,2024-09-30,94332705
ALXO,2024-10-31,74118554
ALXO,2024-11-30,77986939
ALXO,2024-12-31,87998776
ALXO,2025-01-31,76933061
ALXO,2025-02-28,57963265
ALXO,2025-03-31,32895900
ALXO,2025-04-30,28513300
ALXO,2025-05-31,25905958
ALXO,2025-06-30,25825919
AMAL,2024-06-30,835042400
AMAL,2024-07-31,971827310
AMAL,2024-08-31,1007877490
AMAL,2024-09-30,958384870
AMAL,2024-10-31,1016527820
AMAL,2024-11-30,1091916980
AMAL,2024-12-31,1025721620
AMAL,2025-01-31,1070771239
AMAL,2025-02-28,994462700
AMAL,2025-03-31,879405000
AMAL,2025-04-30,864005120
AMAL,2025-05-31,927210040
