Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ASB,ASSOCIATED BANC-CORP,Financial Services,$22.88,4.0%,3.4%,91.0%,"$3,792.07",$28.69,1,97.9%,27.4,$18.14
ASC,Ardmore Shipping Corp,Energy,$10.55,7.0%,4.9%,69.0%,$426.40,$3.32,0,31.4%,22.0,$8.28
ASGN,ASGN Inc,Industrials,$49.23,,NaN,0.0%,"$2,157.59",$14.01,0,,NaN,NaN
ASIX,AdvanSix Inc.,Basic Materials,$23.73,3.0%,1.9%,0.0%,$636.27,$7.50,0,,32.6,$18.32
ASLE,AerSale Corp,N/A,$5.87,,NaN,0.0%,$275.08,,0,,NaN,NaN
ASO,"Academy Sports & Outdoors, Inc.",N/A,$44.10,,0.6%,0.0%,"$2,932.91",$7.56,0,,NaN,NaN
ASPI,ASP Isotopes Inc.,N/A,$7.86,,NaN,0.0%,$586.23,,0,,NaN,NaN
ASPN,ASPEN AEROGELS INC,Industrials,$5.93,,NaN,0.0%,$486.47,,0,,NaN,NaN
ASTE,ASTEC INDUSTRIES INC,Industrials,$39.41,1.0%,1.4%,0.0%,$899.82,$59.20,1,,NaN,NaN
ASTH,"Astrana Health, Inc.",N/A,$24.21,,NaN,0.0%,"$1,360.06",$38.85,0,,NaN,NaN
ASTS,"AST SpaceMobile, Inc.",N/A,$45.50,,NaN,0.0%,"$14,555.21",,0,,44.7,$9.32
ASUR,ASURE SOFTWARE INC,Technology,$9.23,,NaN,0.0%,$248.46,,0,,NaN,NaN
ATEC,"Alphatec Holdings, Inc.",Healthcare,$10.88,,0.0%,0.0%,"$1,591.82",,0,116.9%,13.1,$4.88
ATEN,"A10 Networks, Inc.",Technology,$18.18,1.0%,1.0%,24.0%,"$1,310.43",$28.77,0,99.8%,21.8,$12.09
ATEX,Anterix Inc.,Communication Services,$27.40,,0.0%,0.0%,$510.21,$21.99,0,59.8%,42.9,$25.32
ATGE,Adtalem Global Education Inc.,Consumer Defensive,$124.45,,0.0%,36.0%,"$4,473.03",$19.26,0,75.0%,140.1,$63.24
ATKR,Atkore Inc.,Industrials,$66.76,2.0%,0.6%,129.0%,"$2,244.23",$11.64,0,147.0%,150.9,$49.68
ATLC,Atlanticus Holdings Corp,Financial Services,$50.29,,0.0%,50.0%,$762.36,$7.99,0,168.8%,64.7,$25.44
ATLO,AMES NATIONAL CORP,Financial Services,$17.09,5.0%,5.8%,0.0%,$153.97,$13.56,1,,21.0,$15.16
ATMU,Atmus Filtration Technologies Inc.,N/A,$35.18,1.0%,0.1%,0.0%,"$2,911.42",$15.75,0,,NaN,NaN
ATNI,"ATN International, Inc.",Communication Services,$15.71,6.0%,5.2%,0.0%,$234.79,,,,32.9,$13.76
ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,$1.45,,NaN,0.0%,$45.55,,0,,8.6,$1.03
ATOS,"ATOSSA THERAPEUTICS, INC.",Healthcare,$0.80,,NaN,0.0%,$103.75,,0,,NaN,NaN
ATRC,"AtriCure, Inc.",Healthcare,$31.61,,NaN,0.0%,"$1,564.85",,0,,NaN,NaN
ATRO,ASTRONICS CORP,Industrials,$33.52,,NaN,0.0%,"$1,186.82",,0,,36.3,$14.13
ATSG,"Air Transport Services Group, Inc.",Industrials,$22.49,,NaN,0.0%,"$1,481.22",$53.99,0,,NaN,NaN
ATXS,"Astria Therapeutics, Inc.",N/A,$5.91,,NaN,0.0%,$341.65,,0,,NaN,NaN
AUB,Atlantic Union Bankshares Corp,Financial Services,$30.05,4.5%,4.2%,0.0%,"$4,278.33",$21.68,1,,43.6,$22.59
AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,$7.90,,NaN,0.0%,"$1,070.03",$26.85,0,115.3%,10.7,$5.20
AUR,"Aurora Innovation, Inc.",N/A,$5.35,,0.0%,0.0%,"$9,428.10",,0,228.0%,10.8,$2.17
AURA,"Aura Biosciences, Inc.",N/A,$6.09,,0.0%,0.0%,$306.64,,0,153.4%,12.4,$4.35
AVA,AVISTA CORP,Utilities,$37.50,5.2%,4.7%,240.0%,"$3,021.13",$16.07,1,38.7%,42.6,$31.83
AVAH,"Aveanna Healthcare Holdings, Inc.",N/A,$4.80,,0.0%,0.0%,$934.50,$171.91,0,137.1%,6.2,$2.32
AVAV,AeroVironment Inc,Industrials,$190.52,,0.0%,0.0%,"$5,362.71",$121.81,0,122.1%,236.6,$102.25
AVBP,Arrivent Biopharma Inc.,N/A,$24.90,,0.0%,0.0%,,,,116.7%,36.4,$15.47
AVD,AMERICAN VANGUARD CORP,Basic Materials,$3.96,3.0%,1.6%,12.0%,$112.56,,,,9.8,$3.28
AVDL,AVADEL PHARMACEUTICALS PLC,Healthcare,$9.32,,NaN,0.0%,$901.61,,0,,NaN,NaN
AVDX,"AvidXchange Holdings, Inc.",Healthcare,$9.79,,NaN,0.0%,"$2,021.11","$1,096.64",0,,NaN,NaN
AVIR,"Atea Pharmaceuticals, Inc.",N/A,$3.21,,NaN,0.0%,$274.71,,0,,NaN,NaN
AVNS,"AVANOS MEDICAL, INC.",Healthcare,$12.09,,NaN,0.0%,$558.63,,0,,NaN,NaN
AVNT,AVIENT CORP,N/A,$34.16,3.2%,2.6%,0.0%,"$3,127.67",$31.31,1,,53.6,$27.64
AVNW,"AVIAT NETWORKS, INC.",Technology,$22.60,,NaN,0.0%,$285.45,,0,,NaN,NaN
AVO,"Mission Produce, Inc.",N/A,$12.53,,NaN,0.0%,$885.55,$24.13,0,,15.3,$9.54
AVPT,"AvePoint, Inc.",N/A,$18.42,,NaN,0.0%,"$3,743.56",,0,,20.3,$9.38
AVTE,"Aerovate Therapeutics, Inc.",N/A,$9.41,26.0%,6.6%,0.0%,$7.79,,0,,NaN,NaN
AVXL,ANAVEX LIFE SCIENCES CORP.,Healthcare,$9.03,,0.0%,0.0%,$770.91,,0,152.0%,14.4,$3.76
AWR,AMERICAN STATES WATER CO,Utilities,$77.98,2.4%,2.0%,186.0%,"$3,001.77",$24.41,1,42.5%,86.0,$68.41
AX,"Axos Financial, Inc.",Financial Services,$71.09,,0.0%,0.0%,"$4,008.13",$9.38,0,141.5%,88.5,$52.77
AXGN,"Axogen, Inc.",Healthcare,$9.28,,0.0%,100.0%,$423.10,,0,113.9%,21.0,$6.59
AXL,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,Consumer Cyclical,$4.29,,0.0%,34.0%,$507.66,$23.50,0,170.6%,7.7,$3.00
AXSM,"Axsome Therapeutics, Inc.",Healthcare,$102.85,,0.0%,0.0%,"$5,065.93",,0,48.8%,139.1,$72.02
AZZ,AZZ INC,Industrials,$89.26,1.0%,0.7%,68.0%,"$2,674.23",$51.00,0,115.0%,99.3,$69.16
BANC,"BANC OF CALIFORNIA, INC.",Financial Services,$13.66,3.0%,2.3%,0.0%,"$2,008.47",$18.29,1,,17.7,$11.44
BAND,Bandwidth Inc.,Technology,$14.17,,NaN,0.0%,$422.34,,0,,NaN,NaN
BANF,BANCFIRST CORP /OK/,Financial Services,$118.56,1.6%,1.3%,0.0%,"$3,940.60",$17.74,0,,131.2,$81.73
BANR,BANNER CORP,Financial Services,$62.26,3.0%,2.9%,0.0%,"$2,150.88",$12.19,0,,76.9,$44.61
BARK,"Bark, Inc.",Financial Services,$0.81,,NaN,0.0%,$137.58,,0,,2.6,$0.81
