date,ticker,d2c,shorts,volume
2024-12-13,AMC,2.53,53045291,21000202
2024-12-31,AMC,3.26,48723373,14936634
2025-01-15,AMC,3.52,46280261,13161769
2025-01-31,AMC,3.72,37768952,10148410
2025-02-14,AMC,3.84,37539547,9763358
2025-02-28,AMC,3.55,37924295,10673953
2025-03-14,AMC,4.95,39225652,7929236
2025-03-31,AMC,6.33,48494766,7655672
2025-04-15,AMC,5.99,58484560,9766825
2025-04-30,AMC,9.23,62494313,6772004
2025-05-15,AMC,7.98,64233103,8048638
2025-05-30,AMC,2.99,64208209,21483968
2017-12-29,BB,4.78,41243369,8621362
2018-01-12,BB,3.63,46124294,12718586
2018-01-31,BB,7.08,46862541,6617626
2018-02-15,BB,8.21,45315407,5518500
2018-02-28,BB,9.46,42454549,4485728
2018-03-15,BB,9.98,43148502,4324791
2018-05-15,BB,12.71,45141218,3552498
2018-05-31,BB,18.56,41878719,2256097
2018-06-15,BB,11.51,39197181,3404317
2018-06-29,BB,5.84,42455574,7268942
2018-07-13,BB,12.03,39071961,3246883
2018-07-31,BB,8.06,40545492,5031363
2018-08-15,BB,10.69,39543993,3699619
2018-08-31,BB,11.65,41223007,3538005
2018-09-14,BB,12.25,39593397,3232333
2018-09-28,BB,6.4,37368424,5842249
2018-10-15,BB,5.72,36138882,6320303
2018-10-31,BB,9.5,34885377,3673384
2018-11-15,BB,8.72,30892490,3543346
2018-11-30,BB,6.66,28155752,4227719
2018-12-14,BB,6.21,25658276,4130263
2018-12-31,BB,3.3,23579708,7134795
2019-01-15,BB,7.21,22651063,3142260
2019-01-31,BB,8.57,22180631,2589499
2019-02-15,BB,9.16,21640832,2361524
2019-02-28,BB,7.96,21671937,2723372
2019-03-15,BB,4.84,22988485,4747028
2019-03-29,BB,2.83,19562582,6916674
2019-04-15,BB,3.99,19439090,4866629
2019-04-30,BB,5.74,19713762,3432376
2019-05-15,BB,6.37,19778006,3105821
2019-05-31,BB,8.0,20595745,2574320
2019-06-14,BB,3.3,20907095,6343595
2019-06-28,BB,2.98,22772832,7652370
2019-07-15,BB,4.97,25221282,5070546
2019-07-31,BB,6.05,22231191,3674470
2019-08-15,BB,6.72,21144083,3147081
2019-08-30,BB,7.44,21107524,2836977
2019-09-13,BB,4.85,19752705,4071097
2019-09-30,BB,2.39,26620896,11148810
2019-10-15,BB,4.29,28169708,6558948
2019-10-31,BB,7.75,29220080,3770672
2019-11-15,BB,7.7,29100210,3776877
2019-11-29,BB,6.18,27092178,4387102
2019-12-13,BB,7.53,25110671,3335666
2019-12-31,BB,3.4,24113399,7093786
2020-01-15,BB,6.06,25323122,4177700
2020-01-31,BB,9.42,30637711,3252447
2020-02-14,BB,8.17,35349613,4329281
2020-02-28,BB,5.68,40168408,7073081
2020-03-13,BB,4.51,39053835,8663822
2020-03-31,BB,4.02,30139233,7488688
2020-04-15,BB,4.4,29416300,6692549
2020-04-30,BB,5.91,27354652,4626106
2020-05-15,BB,5.66,27475664,4851030
2020-05-29,BB,7.97,27052185,3393495
2020-06-15,BB,3.52,24249312,6895743
2020-06-30,BB,5.12,26017542,5084496
2020-07-15,BB,7.61,24777599,3254738
2020-07-31,BB,9.58,26334563,2748465
2020-08-14,BB,9.83,27744981,2822509
2020-08-31,BB,8.57,24423676,2848779
2020-09-15,BB,6.06,24892819,4107562
2020-09-30,BB,5.08,26812588,5275025
2020-10-15,BB,7.67,30454157,3971903
2020-10-30,BB,9.51,31666634,3330731
2020-11-13,BB,9.52,29549884,3105441
2020-11-30,BB,6.97,29602246,4245755
2020-12-15,BB,1.0,34573554,65347475
2020-12-31,BB,2.79,39563672,14162316
2021-01-15,BB,2.62,43485405,16611488
2021-01-29,BB,1.0,20406949,177806832
2021-02-12,BB,1.0,32350653,39737411
2021-02-26,BB,1.71,43025495,25117591
2021-03-15,BB,2.05,37656015,18366563
2021-03-31,BB,3.36,40039305,11911163
2021-04-15,BB,4.53,44497674,9828472
2021-04-30,BB,5.42,48477549,8943138
2021-05-14,BB,7.66,50227904,6552930
2021-05-28,BB,4.24,46967161,11088540
2021-06-15,BB,1.0,37728365,165501834
2021-06-30,BB,1.26,37059887,29347561
2021-07-15,BB,3.68,37062927,10066182
2021-07-30,BB,4.07,36262944,8915641
2021-08-13,BB,6.25,36790618,5887473
2021-08-31,BB,3.06,36818052,12049160
2021-09-15,BB,5.21,39113143,7505889
2021-09-30,BB,3.22,40179571,12474973
2021-10-15,BB,4.88,39680770,8128738
2021-10-29,BB,3.45,37901188,10989990
2021-11-15,BB,3.68,34270410,9311948
2021-11-30,BB,5.77,36230295,6276348
2021-12-15,BB,4.04,36021833,8916116
2021-12-31,BB,3.2,33999823,10639565
2022-01-14,BB,4.93,33964104,6883210
2022-01-31,BB,3.19,34590121,10853380
2022-02-15,BB,4.05,34956153,8629933
2022-02-28,BB,4.7,33619948,7151760
2022-03-15,BB,6.24,38027692,6098536
2022-03-31,BB,3.55,35980435,10124836
2022-04-14,BB,4.75,37289297,7854985
2022-04-29,BB,7.03,41253654,5865991
2022-05-13,BB,4.15,39455116,9499437
2022-05-31,BB,2.92,35038654,11999904
2022-06-15,BB,3.6,36236460,10058518
2022-06-30,BB,3.5,33928600,9687041
2022-07-15,BB,4.74,32556469,6875657
2022-07-29,BB,6.77,33161922,4896801
2022-08-15,BB,5.92,33039863,5580087
2022-08-31,BB,6.39,33149504,5188402
2022-09-15,BB,6.23,33031982,5300192
2022-09-30,BB,5.4,33817857,6265667
2022-10-14,BB,4.57,37445305,8186289
2022-10-31,BB,7.81,37143272,4754272
2022-11-15,BB,5.41,44068427,8140461
2022-11-30,BB,8.02,35820882,4468689
2022-12-15,BB,4.96,28582647,5768117
2022-12-30,BB,3.05,30470286,10001295
2023-01-13,BB,3.83,27991961,7299221
2023-01-31,BB,3.43,25261487,7354819
2023-02-15,BB,3.38,22338629,6609200
2023-02-28,BB,5.31,24715997,4650941
2023-03-15,BB,2.9,20884654,7199082
2023-03-31,BB,3.27,21332761,6518146
2023-04-14,BB,3.91,18299027,4681655
2023-04-28,BB,5.15,18291135,3548402
2023-05-15,BB,3.37,17402442,5160337
2023-05-31,BB,3.97,15923936,4014781
2023-06-15,BB,4.13,15118873,3659547
2023-06-30,BB,1.77,14618294,8260640
2023-07-14,BB,3.03,16293594,5382539
2023-07-31,BB,3.23,15963817,4944645
2023-08-15,BB,4.54,14245823,3135176
2023-08-31,BB,2.27,15436015,6785202
2023-09-15,BB,1.43,15263540,10645551
2023-09-29,BB,4.25,25782817,6070944
2023-10-13,BB,4.2,24572102,5856881
2023-10-31,BB,4.34,24579372,5661622
2023-11-15,BB,6.78,24797681,3655598
2023-11-30,BB,8.95,21502457,2403497
2023-12-15,BB,2.98,22417496,7511017
2023-12-29,BB,4.38,31095455,7096447
